老妇还乡,[瑞士] 迪伦马特,9.21909,1692
基度山伯爵,[法] 大仲马,9.21854,3700
新千年文学备忘录,[意] 伊塔洛·卡尔维诺,9.21779,2946
论语译注,杨伯峻,9.21742,2268
坟,鲁迅,9.21622,2749
押沙龙，押沙龙！,[美] 威廉·福克纳,9.21603,1354
福尔摩斯探案全集,[英] 阿·柯南道尔,9.2144,93197
动物庄园,（英）乔治·奥威尔,9.2098,46463
论美国的民主,[法]托克维尔,9.20263,6615
三国演义,罗贯中,9.20059,111688
三体Ⅲ,刘慈欣,9.2,207181
房思琪的初恋乐园,林奕含,9.2,146729
杀死一只知更鸟,[美] 哈珀·李,9.2,81746
夹边沟记事,杨显惠,9.2,24659
上帝掷骰子吗,曹天元,9.2,20024
人生的智慧,[德] 阿图尔·叔本华,9.2,18883
昨日的世界,（奥）斯蒂芬·茨威格,9.2,10409
快乐王子,[英] 王尔德,9.2,9374
海子诗全集,海子 著,9.2,8703
那不勒斯故事四部曲,艾琳娜.斐蘭德,9.2,7808
棋王·树王·孩子王,阿城,9.2,6932
基地与帝国,[美] 艾萨克·阿西莫夫,9.2,6648
银河帝国3：第二基地,[美] 艾萨克·阿西莫夫,9.2,6002
纳尔齐斯与歌尔德蒙,赫尔曼·黑塞,9.2,4253
中国国家治理的制度逻辑,周雪光,9.2,4172
被淹没和被拯救的,[意] 普里莫·莱维,9.2,3291
大明宫词,郑重,9.2,3276
万物既聪慧又奇妙,[英] 吉米·哈利,9.2,3152
正红旗下,老舍,9.2,3005
Harry Potter And The Chamber Of Secrets,J. K. Rowling,9.2,2983
虚构集,[阿根廷]豪·路·博尔赫斯,9.2,2810
南明史,顾诚,9.2,2685
三体2,刘慈欣,9.2,2600
建筑师,(美) 大卫·马祖凯利,9.2,2385
甲骨文,彼得·海斯勒,9.2,2235
古拉格：一部历史,(美)安妮·阿普尔鲍姆,9.2,2155
飲水詞箋校,（清）纳兰性德,9.2,2150
尼各马可伦理学,[古希腊] 亚里士多德(Aristotle),9.2,2138
老子注译及评介,陈鼓应,9.2,2114
追寻逝去的时光·第一卷：去斯万家那边,[法] 马塞尔·普鲁斯特 原著,9.2,2062
奥克诺斯,[西班牙] 路易斯·塞尔努达,9.2,1853
皮皮鲁和鲁西西,郑渊洁,9.2,1805
海蒂,约翰娜·斯比丽,9.2,1763
永恒的时光之旅,[日] 星野道夫,9.2,1761
党员、党权与党争,王奇生,9.2,1761
丰饶之海,[日] 三岛由纪夫,9.2,1717
关山夺路,王鼎钧,9.2,1706
伊凡·伊里奇之死,[俄] 列夫·托尔斯泰,9.2,1644
娜塔莎之舞,[英] 奥兰多·费吉斯,9.2,1467
舆论,[美]沃尔特·李普曼,9.2,1442
“太空漫游”四部曲,[英]阿瑟·克拉克,9.2,1267
路易·波拿巴的雾月十八日,马克思,9.2,1079
谈艺录,钱钟书,9.2,1023
安徒生童话故事集,（丹麦）安徒生,9.1996,79165
基地,[美] 艾萨克·阿西莫夫,9.19807,13278
River Town,Peter Hessler,9.19789,2319
Being Mortal,Atul Gawande,9.19724,1196
大盗贼,(德)奥特利特·普雷斯勒,9.19265,1347
新华字典,中国社会科学院语言研究所,9.1878,7133
契诃夫小说全集,[俄] 契诃夫,9.18687,1394
Pride and Prejudice,Jane Austen,9.18232,5238
实践理性批判,伊曼努尔·康德,9.18086,1348
人性的枷锁,[英] 威廉·萨默塞特·毛姆,9.17897,9176
判断力批判,[德] 康德,9.17821,1478
地下室手记,[俄]陀思妥耶夫斯基,9.16686,5280
To Kill a Mockingbird,Harper Lee,9.16682,2869
古今数学思想,[美] 莫里斯·克莱因,9.16051,2221
百年孤独,[哥伦比亚] 加西亚·马尔克斯,9.1532,331037
大问题,[美] 安德斯·尼尔森,9.15191,9384
柏拉图的《会饮》,柏拉图,9.15122,1435
古文观止,吴楚材,9.14644,16753
The Unbearable Lightness of Being,Milan Kundera,9.14535,1151
世界电影史,[美]大卫·波德维尔,9.14194,2375
朱熹的历史世界,余英时,9.13853,1474
银孔雀,安房直子,9.13816,1402
机器人短篇全集,[美] 艾萨克·阿西莫夫,9.13718,3201
斯·茨威格中短篇小说选,[奥] 茨威格,9.13227,3121
白夜行,[日] 东野圭吾,9.13149,681336
Harry Potter and the Chamber of Secrets,J.K. Rowling,9.12916,2085
楚辞,屈原,9.12263,4242
Country Driving,Peter Hessler,9.12251,1386
传统十论,秦晖,9.12175,2966
手绢上的花田,[日] 安房直子 著,9.11255,2621
霸王别姬,李碧华,9.11014,20456
柳如是别传,陈寅恪,9.10637,1710
杜撰集,[阿根廷] 豪·路·博尔赫斯,9.10519,3430
海伯利安,(美)丹·西蒙斯,9.10483,9895
全本新注聊斋志异,[清] 蒲松龄 著,9.10408,3233
美国讲稿,[意] 伊塔洛·卡尔维诺,9.10392,2548
哈利·波特与魔法石,[英] J. K. 罗琳,9.1016,168639
奥古斯都,[美] 约翰·威廉斯,9.10087,4249
天龙八部,金庸,9.10082,96461
树上的男爵,[意大利]伊塔洛·卡尔维诺,9.1005,20183
失踪的孩子,[意] 埃莱娜·费兰特,9.10006,28327
人类简史,[以色列] 尤瓦尔·赫拉利,9.1,118778
邓小平时代,[美] 傅高义,9.1,25210
深夜食堂 02,[日] 安倍夜郎,9.1,9585
从一到无穷大,[美] G. 伽莫夫,9.1,8850
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德,9.1,8467
切尔诺贝利的悲鸣,[白俄] S·A·阿列克谢耶维奇,9.1,8343
社会性动物,Elliot Aronson,9.1,7613
你看起来好像很好吃,宫西达也,9.1,7612
灯塔,[法] 克里斯多夫·夏布特,9.1,7566
美国宪政历程,任东来,9.1,6409
台北人,白先勇,9.1,6275
2001太空漫游,[英] 阿瑟·克拉克,9.1,6062
阿城精选集,阿城,9.1,6009
我亲爱的甜橙树,(巴西)若泽•毛罗•德瓦斯康塞洛斯,9.1,5973
Call Me by Your Name,André Aciman,9.1,5763
OPUS 作品,[日] 今敏,9.1,5597
维特根斯坦传,[英] 瑞·蒙克,9.1,5537
银河帝国4：基地前奏,[美] 艾萨克·阿西莫夫,9.1,4297
13 67,陳浩基,9.1,4166
杀死一只反舌鸟,[美]哈珀·李,9.1,3945
爱心树,谢尔・希尔弗斯坦,9.1,3703
孽子,白先勇,9.1,3618
奥狄浦斯王,[古希腊] 索福克勒斯,9.1,3250
忧郁的热带,[法] 列维-斯特劳斯,9.1,3152
羊道·前山夏牧场,李娟,9.1,2867
羊道·深山夏牧场,李娟,9.1,2761
永远永远爱你,宫西达也,9.1,2667
给一个青年诗人的十封信,里尔克（Rilke Rainer Maria）,9.1,2274
沈从文的后半生,张新颖,9.1,2222
万物刹那又永恒,[英] 吉米·哈利,9.1,2156
花香小镇,安房直子,9.1,2117
我是霸王龙,宫西达也,9.1,1950
社会学的想象力,[美] C.赖特·米尔斯,9.1,1822
苏格拉底的申辩,[古希腊] 柏拉图,9.1,1812
普通语言学教程,[瑞士] 费尔迪南·德·索绪尔,9.1,1766
历史研究,（英）阿诺德・汤因比,9.1,1735
夏宇詩集／腹語術,夏宇,9.1,1670
我要做好孩子,黄蓓佳,9.1,1628
老子,饶尚宽 译注,9.1,1626
小说机杼,[英] 詹姆斯·伍德,9.1,1603
魔灯,[瑞典] 英格玛·伯格曼,9.1,1474
给青年诗人的信,[奥] 莱内·马利亚·里尔克,9.1,1425
游隼,[英] J.A.贝克,9.1,1360
韦伯作品集Ⅻ:新教伦理与资本主义精神,马克斯·韦伯,9.1,1247
On Writing Well,William Zinsser,9.1,1236
特朗斯特罗姆诗歌全集,[瑞典] 托马斯·特朗斯特罗姆,9.1,1179
中国古典诗词感发,顾随,9.1,1135
约翰·克里斯托夫,罗曼・罗兰,9.1,1059
现实与欲望,[西班牙] 路易斯·塞尔努达,9.1,1054
罗马元老院与人民,[英] 玛丽·比尔德,9.1,1044
个人形成论,[美] 卡尔·R·罗杰斯,9.1,1042
Harry Potter and the Deathly Hallows U.K Adult Edition,J. K. Rowling,9.1,1001
肖申克的救赎,[美] 斯蒂芬·金,9.09883,81771
追忆似水年华,[法国] 马塞尔·普鲁斯特,9.09663,4332
海洋帝国,[英] 罗杰·克劳利,9.0945,3054
十万个为什么,,9.09,10881
