name,author,Avg,Num
泽诺的意识,[意]伊塔洛·斯韦沃,8.138005390835577,371
落失男孩,[美]托马斯·沃尔夫,9.0,37
一场游戏一次消遣,[美]詹姆斯·索特,8.6,274
梦的宇宙志,[日]涩泽龙彦,8.9,123
神秘博士：美丽的混沌,[英] 加里·拉塞尔,8.4,164
自指引擎,[日]圆城塔,8.3,447
在其他的世界,[加拿大] 玛格丽特·阿特伍德,8.8,86
克莱因壶,[日]冈岛二人,8.9,3236
饭局的起源,[英]马丁•琼斯,7.9,46
藏着,[英]罗纳德·弗雷泽(Ronald Fraser),8.0,34
未来的最后一年,[加]罗伯特·查尔斯·威尔森,8.1,30
企鹅之旅,[意] 埃米利亚诺·庞兹,8.3,33
猫的桌子,[加拿大] 迈克尔·翁达杰,8.1,54
谁杀死了罗杰·艾克罗伊德？,[法] 皮埃尔·巴雅,8.7,28
萨基小说选,萨基,8.0,14
圣母,[日]秋吉理香子,7.9,2905
网内人,陈浩基,8.2,6387
首无·作祟之物,[日]三津田信三,8.8,5297
我们盗走星座的理由,（日）北山猛邦,7.7,379
蓝玫瑰不会安眠,（日）市川忧人,7.7,369
死亡护理师,[日]叶真中显,8.4,210
体育馆之谜,[日] 青崎有吾,8.0,2157
恐妻家,[日] 伊坂幸太郎,8.2,2434
喜鹊谋杀案,[英] 安东尼·霍洛维茨,7.7,7964
克萊因壺,岡嶋二人,8.5,730
尚待商榷的爱情,(英)朱利安·巴恩斯,7.4,140
低音提琴,[德]帕·聚斯金德,7.84387417218543,1208
老爸的笑声,[菲律宾]卡洛斯·布洛桑,8.3,25
鸽子,[德]帕·聚斯金德,8.096743447180303,1259
罗马阳台 世间的每一个清晨,[法] 帕斯卡·基尼亚尔,8.241929499072356,539
Young Hearts Crying,Richard Yates,8.8,30
一座城堡到另一座城堡,[法] 塞利纳,8.8,100
田纳西·威廉斯回忆录,[美]田纳西·威廉斯,8.5,50
小大亨,[美]威廉·加迪斯,8.3,21
沙岸风云,[法] 朱利安·格拉克,8.754320987654319,81
塔尼奥斯巨岩,[法]阿明·马洛夫,8.5,18
莱昂内尔·阿斯博,马丁·艾米斯,6.5,30
Bleeding Edge,Thomas Pynchon,9.5,23
皮,库尔齐奥·马拉巴特,8.7,58
烈酒一滴,勞倫斯.卜洛克(Lawrence Block),8.8,39
地下人,[美] 罗斯·麦克唐纳,7.8,80
阅读是一座随身携带的避难所,[英]毛姆,8.6,6002
人性的枷锁,[英] 威廉·萨默塞特·毛姆,9.178966870095902,9176
罪与罚,陀思妥耶夫斯基 (Dostoevsky),9.028229883657186,32834
道林·格雷的画像,【英】奥斯卡·王尔德,8.882117002543534,5111
沉默的大多数,王小波,9.07304559795857,122659
一个陌生女人的来信,[奥地利] 斯蒂芬·茨威格,8.717514563749502,120848
长日将尽,[英] 石黑一雄,8.905746085155947,7727
英国特工阿申登,[英] 毛姆 著,9.0,677
杀死一只知更鸟,[美] 哈珀·李,9.2,81746
The Razor&#39;s Edge,W. Somerset Maugham,8.981105398457585,778
动物骨大发现,[法] 朱迪思·努维翁 文,9.0,23
寻找沃霍尔,[英] 凯瑟琳·英格拉姆 文,8.8,68
毕加索画传1,[法] 朱莉·比尔曼 编,8.6,153
实验室女孩,[美] 霍普·洁伦,8.7,42
神探狗狗2,[美] 戴夫·皮尔奇,9.1,87
100层的房子,(日) 岩井俊雄,8.8,646
好饿的毛毛虫,(美)艾瑞·卡尔 文/图,8.856013071895424,3060
乌鸦面包店系列,(日)加古里子,8.5,53
晚安，大猩猩,[美] 佩吉·拉特曼(Peggy Rathmann) 文/图,9.2,698
我爸爸,[英国]安东尼·布朗,8.825883952855849,4412
地下100层的房子,(日)岩井俊雄,8.7,430
棕色的熊、棕色的熊，你在看什么？,文：(美)比尔·马丁,8.8,697
阿文的小毯子,(美)凯文·亨克斯 文/图,8.6,408
市场街最后一站,[美]马特·德拉培尼亚  著,8.6,241
小房子,维吉尼亚·李·伯顿,8.993364197530864,1296
野性的呼唤,[美] 杰克·伦敦,8.4,133
了不起的盖茨比,[美] 弗·司各特·菲茨杰拉德,8.38392437540486,157462
茶花女,[法] 小仲马,8.23531453617497,135978
少年维特的烦恼,[德] 约翰·沃尔夫冈·冯·歌德,7.919935584468699,39121
再见，吾爱,[美]雷蒙德·钱德勒,7.8889895786135025,2207
卡门,［法］普罗斯佩·梅里美,8.5,127
夜袭动物园,[美] 比尔·布龙,8.3,57
第四只手,[美]约翰·欧文,7.223802163833076,647
小妇人,[美] 路易莎·梅·奥尔科特,8.385476410730806,22701
道连·葛雷的画像,[英] 奥斯卡·王尔德,8.916612377850164,10438
道连·格雷的画像,王尔德,8.8,4038
The Picture of Dorian Gray,Oscar Wilde,9.108757637474541,1473
野兔,[阿根廷]塞萨尔·艾拉,7.7,97
鴿子&lt;典藏本&gt;,派屈克•徐四金，譯／彭意如,8.5,39
动物农场,[英] 乔治·奥威尔,9.225849976686353,102944
小王子,[法] 圣埃克苏佩里,8.953642391937898,591905
百年孤独,[哥伦比亚] 加西亚·马尔克斯,9.153203116267969,331037
不能承受的生命之轻,[捷克] 米兰·昆德拉,8.557709226901055,236645
面纱,(英)W.萨默塞特·毛姆,8.687577380175002,38285
苏菲的世界,（挪威）乔斯坦·贾德,8.582510068620985,142522
知识大迁移,(美) 威廉·庞德斯通 （William Poundstone）,6.0,709
高效演讲,彼得•迈尔斯 (Peter Meyers),8.244454463480613,1109
思辨与立场,理查德·保罗,8.1,524
用事实说话,[美]马克·墨菲（Mark Murphy）,7.7,208
第3选择,史蒂芬•柯维 (Stephen R Covey),7.5,560
认知天性,[美] Peter C. Brown,7.9,3137
我的情绪为何总被他人左右,[美]阿尔伯特·埃利斯(Albert Ellis),7.5,749
爱与资本,[美]玛丽·加布里埃尔,9.3,802
好好接话,[日]山口拓朗,7.3,278
能力陷阱,【美】埃米尼亚•伊贝拉,7.7,1114
絕叫,葉真中顯,8.5,607
引恶之名,[日] 真梨幸子,7.1,103
繁花將逝,伽古屋圭市,8.6,167
抱住我崩溃的大脑,[日] 知念实希人,9.1,38
黑色天鹅,[日] 鲇川哲也,7.7,143
柔嫩的脸颊,[日]桐野夏生,8.0,174
圣女的毒杯,[日] 井上真伪,7.6,247
那种可能性早已料及,[日]井上真伪,7.7,299
失控的照護,葉真中顯,8.8,109
山魔·嗤笑之物,[日]三津田信三,8.0,1417
厌魅·附体之物,[日]三津田信三,7.5,1434
第七重解答,[法]保罗·霍尔特,8.7,3440
刺青杀人事件,[日] 高木彬光,8.0,1968
剪刀男,（日）殊能将之,8.3,6344
解体诸因,[日] 西泽保彦,7.907298727829883,10769
虹の歯ブラシ 上木らいち発散,早坂吝,8.6,2700
七個證人,西村京太郎,8.5,2241
奇想·天动,[日] 岛田庄司,8.3,5123
紫丁香庄园,[日] 鲇川哲也,7.6,1709
如無頭作祟之物,三津田信三,9.2,753
首無の如き祟るもの ,三津田信三,9.1,32
首無の如き祟るもの,三津田信三,9.5,22
楚辞,屈原,9.122630834512021,4242
古文观止,吴楚材,9.14643944368173,16753
道德经精义,黄元吉,9.4,12204
论语,,8.979819205455554,12611
牡丹亭,汤显祖,9.0,8277
庄子,孙通海 译注,9.377195004803076,10410
聊斋志异,蒲松龄,8.906149093083517,10034
世说新语,&lt;南朝宋&gt;刘义庆 著,9.031653543307087,5080
西厢记,王实甫,8.5,7272
人间词话,王国维,9.012984637035297,42635
战争与和平,[俄] 列夫·托尔斯泰,9.07674825174825,14872
安娜·卡列尼娜,[俄] 列夫·托尔斯泰,8.756989954970557,28870
哈姆莱特,莎士比亚,8.601675610557443,36524
巴黎圣母院,雨果,8.447134592293416,109932
哈克贝利·费恩历险记,马克·吐温,8.189523336643495,2014
呼啸山庄,艾米荷·勃朗特,8.449049842709174,132557
Crime and Punishment,Fyodor Dostoevsky,9.1,195
爸爸，我要月亮,(美)艾瑞·卡尔 文/图,8.9,403
点点点,(法)埃尔维·杜莱 文/图,9.1,758
菲菲生气了,(美)莫莉·卞 文/图,8.5,707
和甘伯伯去游河,（英）约翰·伯宁罕,8.7,917
大卫上学去,[美]大卫·香农 文/图,8.7,1112
脸，脸，各种各样的脸,柳原良平,8.4,351
大卫，不可以,[美]大卫·香农 文/图,8.8,3804
"Brown Bear, Brown Bear, What Do You See?","Bill, Jr. Martin",9.003461538461538,520
棕色的熊，棕色的熊，你在看什么？,(美)比尔·马丁 文,9.4,74
酒：一部文化史,[加]罗德·菲利普斯,7.7,45
唐人街,王保华,7.5,83
早期中国的食物、祭祀和圣贤,[英]胡司德,7.1,41
出类拔萃之辈,[美]大卫·哈伯斯塔姆,8.368,100
筷子,[美] 王晴佳,7.6,60
烹饪、菜肴与阶级,[英] 杰克·古迪,7.502702702702703,296
征服自然,[美] 大卫 · 布莱克本,7.8,18
宴飨的故事,马丁·琼斯,8.3,49
老人与海,(美)海明威,8.36019687259087,173818
傲慢与偏见,[英] 简·奥斯汀,8.848055696076564,241166
莎乐美 道林·格雷的画像,(英国)奥斯卡﹒王尔德,9.0,361
追忆似水年华,[法国] 马塞尔·普鲁斯特,9.096629732225297,4332
Wuthering Heights,Emily Brontë,8.8,1469
快乐王子,[英] 王尔德,9.2,9374
一个唯美主义者的遗言,彼得·阿克罗伊德,7.978835978835979,378
芬尼根的守灵夜 - 珍藏本,[爱尔兰] 詹姆斯·乔伊斯,9.2,140
王尔德作品集,[英] 奥斯卡·王尔德,9.2,526
谎言的衰落,[英] 奥斯卡·王尔德,9.0,305
如山魔嗤笑之物,三津田信三,8.1,652
如厭魅附身之物,三津田信三,7.4,371
幸福之書,泡坂妻夫,8.6,324
鴉,麻耶雄嵩,7.9,613
活屍之死,山口雅也,8.3,412
吸血之家,二階堂黎人,7.9,710
恐怖的人狼城·第四部：完結篇,二階堂黎人,8.1,196
百舌吶喊的夜晚,逢坂剛,8.4,383
北方夕鶴2/3杀人,島田莊司,7.9,659
螺絲人,島田莊司,8.1,587
向和平宣战,[美]罗南·法罗（Ronan Farrow）,6.0,23
革命品格,[美]戈登·伍德,7.8,26
元老,[日]伊藤之雄,7.7,89
世界中心的岛,[美]萧拉瑟,8.0,76
The Best and the Brightest,David Halberstam,8.7,27
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,8.989872553860835,180233
飘,[美国] 玛格丽特·米切尔,9.303116639343765,164087
围城,钱锺书,8.969576598376081,464925
挪威的森林,[日] 村上春树,8.12265083814918,418064
红楼梦,[清] 曹雪芹 著,9.601755997885705,281891
One Hundred Years of Solitude,Gabriel Garcia Marquez,9.249706457925637,511
清单革命,[美] 阿图•葛文德（Atul Gawande）,7.011016200294551,3395
斯坦福大学最受欢迎的创意课,[美]蒂娜•齐莉格,6.9,309
如何作出正确决策,[美] Gary Klein,7.5,167
爱有8种习惯,[美]艾德• 培根,7.9,180
终身成长,[美] 卡罗尔·德韦克,7.6,4784
终结拖延症,（美）威廉•克瑙斯（William Knaus）,7.268593749999999,640
让孩子远离焦虑,塔玛·琼斯基 (Tamar E.Chansky),7.4,107
瞬变,[美] 奇普·希思,8.2,1768
第3选择：解决人生所有难题的关键思维,史蒂芬．柯維,7.4,55
如何培养孩子的社会能力,默娜·R.舒尔,8.0,399
你就是孩子最好的玩具,金伯莉·布雷恩,8.2,782
忙碌爸爸也能做好爸爸,布鲁斯·罗宾森,7.7,69
情绪急救,【美】盖伊•温奇博士 Guy Winch，Ph.D,8.0,1204
童年的秘密,[意] 玛利亚·蒙台梭利,8.3,357
内在工作,[美]罗伯特•约翰逊,7.8,77
热锅上的家庭,[美]奥古斯都·纳皮尔,8.6,822
远大前程,查尔斯·狄更斯,8.51841964762413,9365
月亮和六便士,[英] 毛姆,9.021044389137627,153889
理智与情感,奥斯汀,7.901947735757181,12322
欧·亨利短篇小说选集,欧·亨利,8.4,213
双城记,[英] 查尔斯·狄更斯,8.422198204190224,30070
哈利·波特与火焰杯,[英] J. K. 罗琳,9.001606145251397,124584
哈利·波特与密室,[英] J. K. 罗琳,8.901329009791864,125206
荆棘鸟,[澳] 考琳·麦卡洛,8.624693732193732,56160
Pride and Prejudice,Jane Austen,9.182321496754485,5238
专使,[美] 亨利·詹姆斯,8.2,22
阿尔戈古堡,[法] 朱利安·格拉克,7.4,67
莫斯科,[俄]布尔加科夫,8.02923076923077,130
寓言,[美] 威廉·福克纳,7.971084337349398,83
阿凯，我的童年时光,[尼日利亚]沃莱•索因卡,8.8,25
流星,[捷克] 卡雷尔·恰佩克,7.885245901639344,61
圣殿,[美] 威廉·福克纳,7.8567291311754675,587
林中阳台,[法] 朱利安·格拉克,8.034042553191489,141
金钵记,[美] 亨利·詹姆斯,7.6,50
俄罗斯白银时代诗选,〔俄〕阿赫玛托娃等 著,7.6,36
